cas_number_raw,cas_number_normalized,pubchem_status,pubchem_cid,pubchem_smiles_raw,resolver_note
123-31-9,123-31-9,resolved,785.0,C1=CC(=CC=C1O)O,Resolved through PubChem exact CAS synonym match.
124-94-7,124-94-7,resolved,31307.0,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Resolved through PubChem exact CAS synonym match.
131-11-3,131-11-3,resolved,8554.0,COC(=O)C1=CC=CC=C1C(=O)OC,Resolved through PubChem exact CAS synonym match.
135-19-3,135-19-3,resolved,8663.0,C1=CC=C2C=C(C=CC2=C1)O,Resolved through PubChem exact CAS synonym match.
13523-86-9,13523-86-9,resolved,4828.0,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,Resolved through PubChem exact CAS synonym match.
13655-52-2,13655-52-2,resolved,2119.0,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Resolved through PubChem exact CAS synonym match.
137-58-6,137-58-6,resolved,3676.0,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,Resolved through PubChem exact CAS synonym match.
141-05-9,141-05-9,resolved,5271566.0,CCOC(=O)/C=C\C(=O)OCC,Resolved through PubChem exact CAS synonym match.
14199-15-6,14199-15-6,resolved,518900.0,COC(=O)CC1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
143-08-8,143-08-8,resolved,8914.0,CCCCCCCCCO,Resolved through PubChem exact CAS synonym match.
14371-10-9,14371-10-9,resolved,637511.0,C1=CC=C(C=C1)/C=C/C=O,Resolved through PubChem exact CAS synonym match.
145-13-1,145-13-1,resolved,8955.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,Resolved through PubChem exact CAS synonym match.
146-72-5,146-72-5,resolved,8973.0,CO[C@H]([C@H](C=O)O)[C@@H]([C@@H](CO)O)O,Resolved through PubChem exact CAS synonym match.
1638-22-8,1638-22-8,resolved,15420.0,CCCCC1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
16590-41-3,16590-41-3,resolved,5360515.0,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,Resolved through PubChem exact CAS synonym match.
17194-82-0,17194-82-0,resolved,86986.0,C1=CC(=CC=C1CC(=O)N)O,Resolved through PubChem exact CAS synonym match.
18979-50-5,18979-50-5,resolved,29352.0,CCCOC1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
2152-44-5,2152-44-5,resolved,16533.0,CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO,Resolved through PubChem exact CAS synonym match.
2203-97-6,2203-97-6,resolved,16623.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COC(=O)CCC(=O)O)O)C)O,Resolved through PubChem exact CAS synonym match.
2493-02-9,2493-02-9,resolved,75609.0,C1=CC(=CC=C1N=C=O)Br,Resolved through PubChem exact CAS synonym match.
26839-75-8,26839-75-8,resolved,33624.0,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,Resolved through PubChem exact CAS synonym match.
2871-01-4,2871-01-4,resolved,3465817.0,C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO,Resolved through PubChem exact CAS synonym match.
29122-68-7,29122-68-7,resolved,2249.0,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,Resolved through PubChem exact CAS synonym match.
31005-02-4,31005-02-4,resolved,35703.0,CCOC1=CC2=C(C=C1)C=CC(=O)O2,Resolved through PubChem exact CAS synonym match.
333-41-5,333-41-5,resolved,3017.0,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,Resolved through PubChem exact CAS synonym match.
3360-41-6,3360-41-6,resolved,76889.0,C1=CC=C(C=C1)CCCCO,Resolved through PubChem exact CAS synonym match.
3593-96-2,3593-96-2,resolved,107423.0,CCCCCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,Resolved through PubChem exact CAS synonym match.
3930-20-9,3930-20-9,resolved,5253.0,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,Resolved through PubChem exact CAS synonym match.
42200-33-9,42200-33-9,resolved,39147.0,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,Resolved through PubChem exact CAS synonym match.
437-38-7,437-38-7,resolved,3345.0,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,Resolved through PubChem exact CAS synonym match.
463-40-1,463-40-1,resolved,5280934.0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,Resolved through PubChem exact CAS synonym match.
499-75-2,499-75-2,resolved,10364.0,CC1=C(C=C(C=C1)C(C)C)O,Resolved through PubChem exact CAS synonym match.
50--2-2,50--2-2,invalid_cas,,,CAS failed normalization or format validation.
50-22-6,50-22-6,resolved,5753.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,Resolved through PubChem exact CAS synonym match.
50-23-7,50-23-7,resolved,5754.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,Resolved through PubChem exact CAS synonym match.
50-24-8,50-24-8,resolved,5755.0,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,Resolved through PubChem exact CAS synonym match.
50-27-1,50-27-1,resolved,5756.0,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,Resolved through PubChem exact CAS synonym match.
50-28-2,50-28-2,resolved,5757.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,Resolved through PubChem exact CAS synonym match.
51-21-8,51-21-8,resolved,3385.0,C1=C(C(=O)NC(=O)N1)F,Resolved through PubChem exact CAS synonym match.
512-69-6,512-69-6,resolved,439242.0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,Resolved through PubChem exact CAS synonym match.
513-85-9,513-85-9,resolved,262.0,CC(C(C)O)O,Resolved through PubChem exact CAS synonym match.
51384-51-1,51384-51-1,resolved,4171.0,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,Resolved through PubChem exact CAS synonym match.
52-39-1,52-39-1,resolved,5839.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,Resolved through PubChem exact CAS synonym match.
53-06-5,53-06-5,resolved,222786.0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,Resolved through PubChem exact CAS synonym match.
53-16-7,53-16-7,resolved,5870.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,Resolved through PubChem exact CAS synonym match.
53-96-3,53-96-3,resolved,5897.0,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Resolved through PubChem exact CAS synonym match.
533-73-3,533-73-3,resolved,10787.0,C1=CC(=C(C=C1O)O)O,Resolved through PubChem exact CAS synonym match.
53535-33-4,53535-33-4,resolved,8129.0,CCCCCCCO,Resolved through PubChem exact CAS synonym match.
554-84-7,554-84-7,resolved,11137.0,C1=CC(=CC(=C1)O)[N+](=O)[O-],Resolved through PubChem exact CAS synonym match.
56-81-5,56-81-5,resolved,753.0,C(C(CO)O)O,Resolved through PubChem exact CAS synonym match.
56030-54-7,56030-54-7,resolved,41693.0,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,Resolved through PubChem exact CAS synonym match.
57-13-6,57-13-6,resolved,1176.0,C(=O)(N)N,Resolved through PubChem exact CAS synonym match.
57-50-1,57-50-1,resolved,5988.0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,Resolved through PubChem exact CAS synonym match.
57-83-0,57-83-0,resolved,5994.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Resolved through PubChem exact CAS synonym match.
58-08-2,58-08-2,resolved,2519.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Resolved through PubChem exact CAS synonym match.
58-22-0,58-22-0,resolved,6013.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C,Resolved through PubChem exact CAS synonym match.
58-54-8,58-54-8,resolved,3278.0,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,Resolved through PubChem exact CAS synonym match.
59-05-2,59-05-2,resolved,126941.0,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,Resolved through PubChem exact CAS synonym match.
59-50-7,59-50-7,resolved,1732.0,CC1=C(C=CC(=C1)O)Cl,Resolved through PubChem exact CAS synonym match.
60-12-8,60-12-8,resolved,6054.0,C1=CC=C(C=C1)CCO,Resolved through PubChem exact CAS synonym match.
6055-19-2,6055-19-2,resolved,22420.0,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Resolved through PubChem exact CAS synonym match.
610-81-1,610-81-1,resolved,3758882.0,C1=CC(=C(C=C1O)[N+](=O)[O-])N,Resolved through PubChem exact CAS synonym match.
614-18-6,614-18-6,resolved,69188.0,CCOC(=O)C1=CN=CC=C1,Resolved through PubChem exact CAS synonym match.
623-05-2,623-05-2,resolved,125.0,C1=CC(=CC=C1CO)O,Resolved through PubChem exact CAS synonym match.
63-36-5,63-36-5,resolved,54675850.0,C1=CC=C(C(=C1)C(=O)O)[O-],Resolved through PubChem exact CAS synonym match.
64–17-5,64-17-5,resolved,702.0,CCO,Resolved through PubChem exact CAS synonym match.
64-19-7,64-19-7,resolved,176.0,CC(=O)O,Resolved through PubChem exact CAS synonym match.
64-85-7,64-85-7,resolved,6166.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CCC4=CC(=O)CC[C@]34C,Resolved through PubChem exact CAS synonym match.
65-85-0,65-85-0,resolved,243.0,C1=CC=C(C=C1)C(=O)O,Resolved through PubChem exact CAS synonym match.
66-27-3,66-27-3,resolved,4156.0,COS(=O)(=O)C,Resolved through PubChem exact CAS synonym match.
6677-98-1,6677-98-1,resolved,111228.0,CCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,Resolved through PubChem exact CAS synonym match.
67-56-1,67-56-1,resolved,887.0,CO,Resolved through PubChem exact CAS synonym match.
68-96-2,68-96-2,resolved,6238.0,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,Resolved through PubChem exact CAS synonym match.
68391-30-0,68391-30-0,resolved,110099.0,C[N+](C)(C)C1=CC2=C(C=C1)C=CC(=C2N=NC3=CC=CC=C3OC)O.[Cl-],Resolved through PubChem exact CAS synonym match.
69-29-7,69-29-7,unresolved,,,PubChem returned no matching compound for the CAS query.
69-65-8,69-65-8,resolved,6251.0,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,Resolved through PubChem exact CAS synonym match.
69-72-7,69-72-7,resolved,338.0,C1=CC=C(C(=C1)C(=O)O)O,Resolved through PubChem exact CAS synonym match.
71-23-8,71-23-8,resolved,1031.0,CCCO,Resolved through PubChem exact CAS synonym match.
71-36-3,71-36-3,resolved,263.0,CCCCO,Resolved through PubChem exact CAS synonym match.
71-41-0,71-41-0,resolved,6276.0,CCCCCO,Resolved through PubChem exact CAS synonym match.
71-43-0,71-43-0,unresolved,,,PubChem returned no matching compound for the CAS query.
71-91-0,71-91-0,resolved,6285.0,CC[N+](CC)(CC)CC.[Br-],Resolved through PubChem exact CAS synonym match.
76-25-5,76-25-5,resolved,6436.0,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,Resolved through PubChem exact CAS synonym match.
76180-96-6,76180-96-6,resolved,53462.0,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,Resolved through PubChem exact CAS synonym match.
7732-18-5,7732-18-5,resolved,962.0,O,Resolved through PubChem exact CAS synonym match.
78-93-3,78-93-3,resolved,6569.0,CCC(=O)C,Resolved through PubChem exact CAS synonym match.
84-66-2,84-66-2,resolved,6781.0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,Resolved through PubChem exact CAS synonym match.
87-66-1,87-66-1,resolved,1057.0,C1=CC(=C(C(=C1)O)O)O,Resolved through PubChem exact CAS synonym match.
88-04-0,88-04-0,resolved,2723.0,CC1=CC(=CC(=C1Cl)C)O,Resolved through PubChem exact CAS synonym match.
88-06-2,88-06-2,resolved,6914.0,C1=C(C=C(C(=C1Cl)O)Cl)Cl,Resolved through PubChem exact CAS synonym match.
88-18-6,88-18-6,resolved,6923.0,CC(C)(C)C1=CC=CC=C1O,Resolved through PubChem exact CAS synonym match.
89-83-8,89-83-8,resolved,6989.0,CC1=CC(=C(C=C1)C(C)C)O,Resolved through PubChem exact CAS synonym match.
90-15-3,90-15-3,resolved,7005.0,C1=CC=C2C(=C1)C=CC=C2O,Resolved through PubChem exact CAS synonym match.
91-20-3,91-20-3,resolved,931.0,C1=CC=C2C=CC=CC2=C1,Resolved through PubChem exact CAS synonym match.
92-48-8,92-48-8,resolved,7092.0,CC1=CC2=C(C=C1)OC(=O)C=C2,Resolved through PubChem exact CAS synonym match.
93-60-7,93-60-7,resolved,7151.0,COC(=O)C1=CN=CC=C1,Resolved through PubChem exact CAS synonym match.
937-20-2,937-20-2,resolved,70298.0,C1=CC(=CC=C1C(=O)CCl)Cl,Resolved through PubChem exact CAS synonym match.
94-13-3,94-13-3,resolved,7175.0,CCCOC(=O)C1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
94-26-8,94-26-8,resolved,7184.0,CCCCOC(=O)C1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
95-48-7,95-48-7,resolved,335.0,CC1=CC=CC=C1O,Resolved through PubChem exact CAS synonym match.
95-54-5,95-54-5,resolved,7243.0,C1=CC=C(C(=C1)N)N,Resolved through PubChem exact CAS synonym match.
95-57-8,95-57-8,resolved,7245.0,C1=CC=C(C(=C1)O)Cl,Resolved through PubChem exact CAS synonym match.
95-65-8,95-65-8,resolved,7249.0,CC1=C(C=C(C=C1)O)C,Resolved through PubChem exact CAS synonym match.
97-00-7,97-00-7,resolved,6.0,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,Resolved through PubChem exact CAS synonym match.
97-53-0,97-53-0,resolved,3314.0,COC1=C(C=CC(=C1)CC=C)O,Resolved through PubChem exact CAS synonym match.
97-54-1,97-54-1,resolved,853433.0,C/C=C/C1=CC(=C(C=C1)O)OC,Resolved through PubChem exact CAS synonym match.
98-86-2,98-86-2,resolved,7410.0,CC(=O)C1=CC=CC=C1,Resolved through PubChem exact CAS synonym match.
99-76-3,99-76-3,resolved,7456.0,COC(=O)C1=CC=C(C=C1)O,Resolved through PubChem exact CAS synonym match.
